time,setpoint,velocity,error,control
0.000,100.00,2.4000,100.0000,12.0000
0.010,100.00,4.7520,97.6000,12.0000
0.020,100.00,7.0570,95.2480,12.0000
0.030,100.00,9.3158,92.9430,12.0000
0.040,100.00,11.5295,90.6842,12.0000
0.050,100.00,13.6989,88.4705,12.0000
0.060,100.00,15.8249,86.3011,12.0000
0.070,100.00,17.9084,84.1751,12.0000
0.080,100.00,19.9503,82.0916,12.0000
0.090,100.00,21.9513,80.0497,12.0000
0.100,100.00,23.9122,78.0487,12.0000
0.110,100.00,25.8340,76.0878,12.0000
0.120,100.00,27.7173,74.1660,12.0000
0.130,100.00,29.5630,72.2827,12.0000
0.140,100.00,31.3717,70.4370,12.0000
0.150,100.00,33.1443,68.6283,12.0000
0.160,100.00,34.8814,66.8557,12.0000
0.170,100.00,36.5838,65.1186,12.0000
0.180,100.00,38.2521,63.4162,12.0000
0.190,100.00,39.8870,61.7479,12.0000
0.200,100.00,41.4893,60.1130,12.0000
0.210,100.00,43.0595,58.5107,12.0000
0.220,100.00,44.5983,56.9405,12.0000
0.230,100.00,46.1064,55.4017,12.0000
0.240,100.00,47.5842,53.8936,12.0000
0.250,100.00,49.0325,52.4158,12.0000
0.260,100.00,50.4519,50.9675,12.0000
0.270,100.00,51.8429,49.5481,12.0000
0.280,100.00,53.2060,48.1571,12.0000
0.290,100.00,54.5419,46.7940,12.0000
0.300,100.00,55.8510,45.4581,12.0000
0.310,100.00,57.1340,44.1490,12.0000
0.320,100.00,58.3913,42.8660,12.0000
0.330,100.00,59.6235,41.6087,12.0000
0.340,100.00,60.8310,40.3765,12.0000
0.350,100.00,62.0144,39.1690,12.0000
0.360,100.00,63.1741,37.9856,12.0000
0.370,100.00,64.3107,36.8259,12.0000
0.380,100.00,65.4244,35.6893,12.0000
0.390,100.00,66.5160,34.5756,12.0000
0.400,100.00,67.5856,33.4840,12.0000
0.410,100.00,68.6339,32.4144,12.0000
0.420,100.00,69.6612,31.3661,12.0000
0.430,100.00,70.6680,30.3388,12.0000
0.440,100.00,71.6547,29.3320,12.0000
0.450,100.00,72.6216,28.3453,12.0000
0.460,100.00,73.5691,27.3784,12.0000
0.470,100.00,74.4977,26.4309,12.0000
0.480,100.00,75.4078,25.5023,12.0000
0.490,100.00,76.2996,24.5922,12.0000
0.500,100.00,77.1736,23.7004,12.0000
0.510,100.00,78.0302,22.8264,12.0000
0.520,100.00,78.8696,21.9698,12.0000
0.530,100.00,79.6922,21.1304,12.0000
0.540,100.00,80.4983,20.3078,12.0000
0.550,100.00,81.2884,19.5017,12.0000
0.560,100.00,82.0626,18.7116,12.0000
0.570,100.00,82.8213,17.9374,12.0000
0.580,100.00,83.5649,17.1787,12.0000
0.590,100.00,84.2936,16.4351,12.0000
0.600,100.00,85.0078,15.7064,12.0000
0.610,100.00,85.7076,14.9922,12.0000
0.620,100.00,86.3934,14.2924,12.0000
0.630,100.00,87.0656,13.6066,12.0000
0.640,100.00,87.7243,12.9344,12.0000
0.650,100.00,88.3698,12.2757,12.0000
0.660,100.00,89.0024,11.6302,12.0000
0.670,100.00,89.6223,10.9976,12.0000
0.680,100.00,90.2299,10.3777,12.0000
0.690,100.00,90.8253,9.7701,12.0000
0.700,100.00,91.4088,9.1747,12.0000
0.710,100.00,91.9806,8.5912,12.0000
0.720,100.00,92.5410,8.0194,12.0000
0.730,100.00,93.0902,7.4590,12.0000
0.740,100.00,93.6284,6.9098,12.0000
0.750,100.00,94.1558,6.3716,12.0000
0.760,100.00,94.6727,5.8442,12.0000
0.770,100.00,95.1792,5.3273,12.0000
0.780,100.00,95.6757,4.8208,12.0000
0.790,100.00,96.1621,4.3243,12.0000
0.800,100.00,96.6389,3.8379,12.0000
0.810,100.00,97.1061,3.3611,12.0000
0.820,100.00,97.5640,2.8939,12.0000
0.830,100.00,98.0127,2.4360,12.0000
0.840,100.00,98.4525,1.9873,12.0000
0.850,100.00,98.8834,1.5475,12.0000
0.860,100.00,99.3057,1.1166,12.0000
0.870,100.00,99.7196,0.6943,12.0000
0.880,100.00,100.1252,0.2804,12.0000
0.890,100.00,100.4876,-0.1252,11.8241
0.900,100.00,100.7838,-0.4876,11.5299
0.910,100.00,101.0870,-0.7838,11.5945
0.920,100.00,101.2478,-1.0870,10.9127
0.930,100.00,101.6229,-1.2478,12.0000
0.940,100.00,101.4121,-1.6229,9.1084
0.950,100.00,101.7838,-1.4121,12.0000
0.960,100.00,101.5088,-1.7838,8.8033
0.970,100.00,101.8786,-1.5088,12.0000
0.980,100.00,101.5643,-1.8786,8.6161
0.990,100.00,101.9330,-1.5643,12.0000
1.000,100.00,101.5945,-1.9330,8.5010
1.010,100.00,101.9626,-1.5945,12.0000
1.020,100.00,101.6094,-1.9626,8.4300
1.030,100.00,101.9772,-1.6094,12.0000
1.040,100.00,101.6148,-1.9772,8.3859
1.050,100.00,101.9825,-1.6148,12.0000
1.060,100.00,101.6146,-1.9825,8.3583
1.070,100.00,101.9823,-1.6146,12.0000
1.080,100.00,101.6108,-1.9823,8.3408
1.090,100.00,101.9786,-1.6108,12.0000
1.100,100.00,101.6049,-1.9786,8.3295
1.110,100.00,101.9728,-1.6049,12.0000
1.120,100.00,101.5977,-1.9728,8.3220
